user_id,pid,preferred
7,p27,perpetua
7,p39,lark
7,p03,willow
7,p45,willow
7,p35,maven
7,p37,willow
7,p28,inkwell
7,p54,gingham
7,p08,org
7,p36,maven
7,p41,walden
7,p04,lark
7,p46,moon
7,p38,perpetua
7,p23,brooklyn
7,p29,perpetua
7,p24,lofi
7,p51,slumber
7,p43,brooklyn
7,p06,valencia
7,p25,moon
7,p30,org
7,p15,willow
7,p31,perpetua
7,p14,willow
7,p49,inkwell
7,p33,aden
7,p34,clarendon
7,p13,lofi
7,p09,moon
7,p01,earlybird
7,p26,perpetua
7,p12,kelvin
8,p04,lofi
8,p28,perpetua
8,p07,clarendon
8,p48,brooklyn
8,p35,stinson
8,p40,clarendon
8,p09,org
8,p38,perpetua
8,p37,gingham
8,p30,clarendon
8,p42,maven
8,p45,gingham
8,p25,lofi
8,p15,xpro2
8,p13,lofi
8,p52,earlybird
8,p06,gingham
8,p24,clarendon
8,p51,rise
8,p34,slumber
8,p19,mayfair
8,p02,moon
8,p50,inkwell
8,p36,lark
8,p10,brooklyn
8,p27,willow
8,p26,hudson
8,p08,slumber
8,p29,inkwell
8,p47,brooklyn
8,p14,slumber
8,p16,perpetua
8,p32,lark
8,p31,clarendon
8,p18,mayfair
8,p23,slumber
8,p44,brooklyn
8,p46,perpetua
8,p43,maven
8,p41,perpetua
8,p54,earlybird
8,p39,org
8,p53,clarendon
8,p33,walden
8,p05,mayfair
8,p49,_1977
8,p12,org
8,p03,gingham
8,p22,clarendon
8,p21,walden
8,p17,org
8,p20,brooklyn
8,p11,org
8,p01,lark
9,p14,perpetua
9,p10,hudson
9,p34,perpetua
9,p51,perpetua
9,p31,org
9,p37,perpetua
9,p54,xpro2
9,p12,inkwell
9,p16,maven
9,p24,slumber
9,p15,mayfair
9,p09,clarendon
9,p02,mayfair
9,p17,maven
9,p05,xpro2
9,p45,aden
9,p32,slumber
9,p29,mayfair
9,p25,slumber
9,p18,hudson
9,p44,lofi
9,p07,org
9,p47,lofi
9,p46,org
9,p03,mayfair
9,p36,lofi
9,p01,hudson
9,p21,lark
9,p53,xpro2
9,p33,xpro2
9,p35,slumber
9,p22,valencia
9,p48,lark
9,p42,xpro2
9,p23,lofi
9,p28,gingham
9,p40,org
9,p20,clarendon
9,p39,hudson
9,p08,clarendon
9,p13,perpetua
9,p41,clarendon
9,p19,xpro2
9,p06,org
9,p49,slumber
9,p30,org
9,p27,mayfair
9,p11,slumber
9,p26,hudson
9,p52,valencia
9,p04,org
9,p43,xpro2
9,p50,mayfair
9,p38,mayfair
10,p53,lofi
10,p22,perpetua
10,p06,clarendon
10,p16,hudson
10,p54,rise
10,p29,xpro2
10,p32,lofi
10,p20,lofi
10,p24,xpro2
10,p13,lofi
10,p46,clarendon
10,p37,walden
10,p19,lofi
10,p01,lofi
10,p43,clarendon
10,p39,mayfair
10,p52,lofi
10,p23,reyes
10,p42,clarendon
10,p03,mayfair
10,p02,xpro2
10,p18,_1977
10,p51,org
10,p08,lofi
10,p33,inkwell
10,p40,slumber
10,p50,rise
10,p25,kelvin
10,p05,xpro2
10,p27,brooklyn
10,p15,lofi
10,p30,clarendon
10,p14,slumber
10,p04,kelvin
10,p36,hudson
10,p35,maven
10,p28,gingham
10,p49,maven
10,p17,kelvin
10,p26,brooklyn
10,p31,mayfair
10,p38,stinson
10,p47,kelvin
10,p07,_1977
10,p45,clarendon
10,p09,clarendon
10,p10,kelvin
10,p44,mayfair
10,p11,xpro2
10,p41,brannan
10,p48,maven
10,p12,hudson
10,p34,brooklyn
10,p21,lofi
11,p01,earlybird
11,p36,aden
11,p25,inkwell
11,p45,inkwell
11,p14,kelvin
11,p28,kelvin
11,p48,moon
11,p26,kelvin
11,p02,lofi
11,p31,xpro2
11,p09,kelvin
11,p39,lofi
11,p44,kelvin
11,p49,nashville
11,p42,lofi
11,p16,kelvin
11,p21,lofi
11,p03,mayfair
11,p05,kelvin
11,p27,xpro2
11,p54,kelvin
11,p51,kelvin
11,p47,mayfair
11,p34,hudson
11,p40,clarendon
11,p43,lofi
11,p50,lofi
11,p38,clarendon
11,p13,kelvin
11,p29,clarendon
11,p17,lofi
11,p06,inkwell
11,p32,mayfair
11,p19,lofi
11,p18,mayfair
11,p23,kelvin
11,p53,kelvin
11,p12,lofi
11,p41,inkwell
11,p37,mayfair
11,p20,brannan
11,p15,toaster
11,p33,clarendon
11,p11,lofi
11,p07,clarendon
11,p46,kelvin
11,p04,mayfair
11,p10,lofi
11,p52,kelvin
11,p22,lofi
11,p30,perpetua
11,p35,clarendon
11,p08,lofi
11,p24,kelvin
12,p07,walden
12,p10,walden
12,p13,kelvin
12,p03,rise
12,p08,inkwell
12,p39,maven
12,p52,slumber
12,p41,lofi
12,p27,lofi
12,p15,clarendon
12,p18,nashville
12,p49,reyes
12,p26,mayfair
12,p24,maven
12,p29,lark
12,p30,valencia
12,p44,maven
12,p20,lofi
12,p01,toaster
12,p51,kelvin
12,p11,org
12,p40,maven
12,p47,nashville
12,p46,inkwell
12,p32,walden
12,p50,reyes
12,p02,aden
12,p17,clarendon
12,p09,mayfair
12,p37,walden
12,p34,nashville
12,p21,walden
12,p54,reyes
12,p42,moon
12,p12,_1977
12,p04,_1977
12,p33,brooklyn
12,p06,brannan
12,p31,reyes
12,p36,xpro2
12,p38,lark
12,p16,walden
12,p28,inkwell
12,p45,brooklyn
12,p43,gingham
12,p23,hudson
12,p25,mayfair
12,p35,perpetua
12,p22,gingham
12,p05,brannan
12,p19,gingham
12,p14,walden
12,p48,org
12,p53,xpro2
13,p29,brooklyn
13,p40,clarendon
13,p19,lark
13,p42,earlybird
13,p49,slumber
13,p50,inkwell
13,p08,lark
13,p34,slumber
13,p48,gingham
13,p47,earlybird
13,p46,reyes
13,p16,stinson
13,p09,mayfair
13,p11,mayfair
13,p32,lofi
13,p41,clarendon
13,p51,stinson
13,p20,gingham
13,p04,xpro2
13,p28,moon
13,p10,rise
13,p06,mayfair
13,p17,org
13,p43,rise
13,p02,org
13,p26,aden
13,p14,inkwell
13,p23,clarendon
13,p12,inkwell
13,p01,lark
13,p33,inkwell
13,p24,clarendon
13,p38,brooklyn
13,p53,mayfair
13,p18,willow
13,p15,org
13,p37,gingham
13,p30,mayfair
13,p07,willow
13,p54,maven
13,p22,willow
13,p03,org
13,p27,moon
13,p39,org
13,p45,gingham
13,p36,clarendon
13,p44,clarendon
13,p25,willow
13,p21,clarendon
13,p05,stinson
13,p35,brooklyn
13,p52,gingham
13,p31,inkwell
13,p13,clarendon
14,p36,org
14,p48,mayfair
14,p40,clarendon
